결제일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-08-23 00:00:00,빠네뜨리아케이크,빠네뜨리아케이크,19700,중식대,0.85,Claude,"빠네뜨리아는 베이커리/케이크 전문점으로, 직원 간식이나 회의용 케이크 구매로 추정됩니다. 금액(19,700원)도 소규모 케이크나 빵 구매에 적합하며, 식음료 관련 복리후생 성격의 지출로 중식대에 해당합니다."
2025-08-23 00:00:00,(주)성한기업,성한기업,84460,기타,0.45,Claude,"""성한기업""은 일반적인 기업명으로 업종이 명확하지 않으며, 금액(84,460원)만으로는 특정 용도를 판단하기 어렵습니다. 추가 정보 확인이 필요합니다."
2025-08-23 00:00:00,편편집시흥배곧점,편편집시흥배곧점,41000,중식대,0.85,Claude,"""편편집""은 편의점 체인 브랜드로 보이며, 41,000원은 식사 또는 식품 구매에 해당하는 금액대입니다. 편의점에서의 식품 구매는 중식대로 분류됩니다."
2025-08-23 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유'와 '주유소'가 명확히 포함되어 있으며, 60,000원은 일반적인 주유 금액 범위입니다. 예시 데이터의 주유소 패턴과 일치합니다."
2025-08-23 00:00:00,야자수,야자수,34700,중식대,0.75,Claude,"'야자수'는 음식점 상호명으로 추정되며, 34,700원은 일반적인 식사 금액대에 해당합니다. 다만 구체적인 업종 키워드가 없어 중간 수준의 신뢰도를 부여했습니다."
2025-08-23 00:00:00,(주)성한기업,성한기업,48170,차량유지비(주유),0.72,Claude,"가맹점명 '성한기업'은 주유소 관련 에너지 기업일 가능성이 높으며, 금액 48,170원은 일반적인 차량 주유 금액 범위에 해당합니다. 다만 명확한 주유소 키워드가 없어 중간 수준의 신뢰도를 부여했습니다."
2025-08-23 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,정확일치,
2025-08-23 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13500,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점(돈까스 전문점)이며, 금액 13,500원은 일반적인 식사 비용에 해당합니다. 예시의 '시골추어탕'과 동일한 음식점 카테고리입니다."
2025-08-23 00:00:00,시흥버스터미널(주),시흥버스터미널,70000,기타,0.65,Claude,"버스터미널은 교통 관련 시설이나, 제공된 분류 체계에서 대중교통 요금은 명시되지 않았습니다. 차량유지비(통행료/주차)나 출장 관련 교통비로 볼 수 있으나, 70,000원은 단순 버스 요금치고는 고액이어서 단체 티켓 구매나 특수 목적일 가능성이 있습니다."
2025-08-23 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,정확일치,
2025-08-23 00:00:00,휴대폰메시지(승인안내)-06월분,휴대폰메시지-06월분,400,사용료,0.9090909090909091,Fuzzy,
NaT,nan,nan,968030,기타,0.3,Claude,"가맹점명이 'nan'(결측값)으로 정보가 없고, 일자도 비어있어 거래 맥락을 파악할 수 없습니다. 금액(968,030원)만으로는 용도를 특정하기 어려워 기타로 분류하며, 추가 정보 확인이 필요합니다."
