승인일자,가맹점명_원본,가맹점명,이용금액,사용용도,신뢰도,라벨출처,근거
2025-07-18 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13700,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점이며, 금액 13,700원은 일반적인 식사 비용에 해당합니다. 돈까스 전문점은 중식대 카테고리에 포함됩니다."
2025-07-15 00:00:00,오투닭갈비&부대찌개 반달섬점,오투닭갈비부대찌개 반달섬점,86000,중식대,0.95,Claude,"가맹점명 '오투닭갈비부대찌개'는 명확한 음식점 상호이며, 금액 86,000원은 직원 식사비용으로 적절한 범위입니다. 예시의 '삼백돈돈가츠'와 동일한 음식점 카테고리입니다."
2025-07-15 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,70000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유'와 '주유소'가 명확히 포함되어 있으며, 금액(70,000원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 패턴과도 일치합니다."
2025-07-14 00:00:00,빠네뜨리아케이크,빠네뜨리아케이크,19700,기타,0.65,Claude,"빠네뜨리아는 베이커리/케이크 전문점으로 추정되며, 19,700원은 케이크 구매 금액으로 보입니다. 직원 생일 축하, 회의용 간식 등 복리후생 목적일 가능성이 있으나, 중식대(식사)나 소모품비(사무용품)에 명확히 해당하지 않아 '기타'로 분류합니다."
2025-07-11 00:00:00,(주)성한기업,성한기업,84460,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 주유소 관련 키워드가 명확하지 않으나, 금액 84,460원은 일반적인 차량 주유 금액 패턴과 일치합니다. 예시 데이터의 주유 거래들과 유사한 금액대이며, '기업' 명칭은 지역 주유소에서 흔히 사용되는 상호 패턴입니다."
2025-07-11 00:00:00,편편집시흥배곧점,편편집시흥배곧점,41000,중식대,0.85,Claude,"가맹점명 '편편집'은 편의점이 아닌 음식점으로 추정되며, 41,000원은 일반적인 식사 금액대입니다. 시흥배곧점이라는 지점명도 음식점 체인의 특성을 보입니다."
2025-07-10 00:00:00,동광석유(주)역전주유소,동광석유역전주유소,60000,차량유지비(주유),1.0,Claude+규칙,"가맹점명에 '석유'와 '주유소'가 명확히 포함되어 있으며, 금액(60,000원)도 일반적인 주유 금액 범위에 해당합니다. 예시 데이터의 패턴과도 일치합니다."
2025-07-07 00:00:00,야자수,야자수,34700,중식대,0.85,Claude,"야자수는 음식점으로 추정되는 상호명이며, 34,700원은 일반적인 식사 금액대에 해당합니다. 점심시간대 식대로 판단됩니다."
2025-07-04 00:00:00,(주)성한기업,성한기업,48170,차량유지비(주유),0.75,Claude,"가맹점명 '성한기업'은 주유소 관련 키워드가 명확하지 않으나, 금액 48,170원은 일반적인 경유/휘발유 주유 금액 패턴과 일치합니다. 예시의 주유소들도 다양한 상호명을 사용하고 있어, 성한기업이 주유소일 가능성이 높으나 100% 확신하기는 어렵습니다."
2025-07-03 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,정확일치,
2025-07-02 00:00:00,공일돈까스 안산MTV점,공일돈까스 안산MTV점,13500,중식대,1.0,Claude+규칙,"가맹점명 '공일돈까스'는 명확한 음식점이며, 금액 13,500원은 일반적인 식사 비용 범위입니다. 돈까스 전문점은 중식대 카테고리에 해당합니다."
2025-07-01 00:00:00,시흥버스터미널(주),시흥버스터미널,70000,기타,0.65,Claude,"버스터미널은 교통 관련 시설이나 제공된 분류 체계에 대중교통비나 출장비 카테고리가 없어 '기타'로 분류. 70,000원은 버스 티켓 구매로 추정되나 명확한 카테고리 매칭 불가."
2025-07-01 00:00:00,THE 두루치기,THE 두루치기,41500,중식대,1.0,정확일치,
2025-06-01 00:00:00,휴대폰메시지(승인안내)-06월분,휴대폰메시지-06월분,400,사용료,0.9090909090909091,Fuzzy,
NaT,nan,nan,968030,기타,0.15,Claude,"가맹점명, 승인일자가 모두 누락되어 있어 거래 내역을 판단할 수 있는 정보가 부족합니다. 금액만으로는 사용용도를 특정할 수 없어 기타로 분류하며, 신뢰도는 매우 낮습니다."
